evtime,evlat,evlon,evdp,evmg,evphase
2025-05-05T03:55:40.806000Z,-35.2752,-107.4288,10.0,6.0,SKS
2025-05-02T17:59:07.738000Z,-57.2763,-67.0184,8.0,6.4,SKS
2025-05-02T12:58:26.322000Z,-56.7817,-68.2085,10.0,7.4,SKS
2025-01-12T08:32:50.219000Z,18.5928,-103.2404,39.0,6.2,SKS
2025-01-01T13:48:25.461000Z,-56.4048,-26.6920,76.4,6.1,SKS
2024-12-13T23:38:18.234000Z,-35.3300,-70.7256,109.0,6.4,SKS
2024-12-05T18:44:21.110000Z,40.3740,-125.0217,10.0,7.0,SKS
2024-11-08T11:38:00.416000Z,-46.7782,-75.6266,10.0,6.3,SKS
2024-10-30T20:15:19.812000Z,43.5881,-127.7057,10.0,6.0,SKS
2024-10-16T07:46:32.572000Z,38.3136,38.8306,10.0,6.0,SKS
2024-09-15T22:22:48.323000Z,51.5827,-130.6302,6.0,6.5,SKS
2024-07-11T15:08:46.834000Z,48.7312,-128.7499,10.0,6.4,SKS
2024-07-10T04:55:41.780000Z,-53.3092,25.3481,4.0,6.6,SKS
2024-02-23T01:51:13.973000Z,-35.0892,-110.7745,10.0,6.3,SKS
2023-12-22T17:36:32.014000Z,-52.0879,27.9516,10.0,6.1,SKS
2023-10-15T03:36:00.712000Z,34.6508,62.1245,10.6,6.3,SKS
2023-10-11T00:41:55.226000Z,34.5295,62.0475,4.0,6.3,SKS
2023-10-07T07:12:50.034000Z,34.5718,61.8816,10.0,6.3,SKS
2023-10-07T06:41:03.324000Z,34.5954,61.9277,14.0,6.3,SKS
2023-09-20T14:45:56.354000Z,-4.5850,-105.6105,10.0,6.0,SKS
2023-09-13T11:49:15.723000Z,-36.2532,-97.9528,10.0,6.1,SKS
2023-07-17T03:05:11.491000Z,-38.1858,-70.4260,186.0,6.6,SKS
2023-06-18T21:59:17.518000Z,-48.6747,31.1598,10.0,6.0,SKS
2023-06-18T20:30:22.195000Z,23.1690,-108.6940,10.0,6.4,SKS
2023-05-26T22:18:25.271000Z,-39.0059,-91.3720,10.0,6.0,SKS
2023-04-13T15:54:53.780000Z,49.2137,-129.6158,7.0,6.0,SKS
2023-03-30T17:33:08.544000Z,-35.6663,-73.4965,26.0,6.3,SKS
2023-02-20T17:04:29.733000Z,36.1588,36.0342,16.0,6.3,SKS
2023-02-06T12:02:11.203000Z,38.0546,36.5099,8.1,6.0,SKS
2023-02-06T10:26:48.486000Z,38.0302,37.9636,20.1,6.0,SKS
2023-02-06T10:24:49.258000Z,38.0235,37.2030,10.0,7.5,SKS
2023-02-06T01:28:15.984000Z,37.1784,36.9468,10.7,6.7,SKS
2023-02-06T01:17:34.362000Z,37.2251,37.0209,10.0,7.8,SKS
2022-12-20T10:34:24.770000Z,40.5250,-124.4230,17.9,6.4,SKS
2022-12-11T14:31:29.635000Z,17.2561,-100.4382,18.0,6.0,SKS
2022-11-23T01:08:15.436000Z,40.8362,30.9836,10.0,6.1,SKS
2022-11-22T16:39:05.789000Z,30.7936,-116.3907,10.0,6.2,SKS
2022-11-13T02:24:57.830000Z,-37.4653,-73.6751,18.0,6.2,SKS
2022-11-13T02:24:01.039000Z,-37.5518,-73.7660,20.7,6.2,SKS
2022-11-04T10:02:46.395000Z,28.1590,-112.3050,10.0,6.1,SKS
2022-11-02T14:17:53.832000Z,-60.7841,-25.7774,25.0,6.1,SKS
2022-11-02T04:53:13.229000Z,31.5128,-133.3636,10.0,6.0,SKS
2022-10-25T00:13:01.576000Z,-58.7479,-26.0934,78.0,6.3,SKS
2022-09-29T03:03:24.076000Z,-60.8356,-20.0267,11.0,6.5,SKS
2022-09-23T22:53:26.202000Z,-41.3769,-75.5849,10.0,6.1,SKS
2022-09-22T06:16:09.416000Z,18.2470,-102.9518,20.0,6.8,SKS
2022-09-19T18:05:07.743000Z,18.4967,-102.9818,25.5,7.6,SKS
2022-07-15T19:37:22.404000Z,-44.6099,-79.6897,21.5,6.4,SKS
2022-07-12T19:17:02.000000Z,-22.7780,-114.6290,33.0,6.6,SKS
2022-07-12T19:16:58.508000Z,-22.5917,-114.2591,10.0,6.8,SKS
2022-07-01T23:25:14.108000Z,26.8833,55.3238,10.0,6.0,SKS
2022-07-01T21:32:08.621000Z,26.9350,55.2540,16.0,6.0,SKS
2022-03-06T20:14:31.244000Z,-58.7315,-24.9167,20.0,6.0,SKS
2022-01-25T01:24:33.513000Z,-55.3696,-28.7839,11.0,6.0,SKS
2022-01-11T01:07:48.091000Z,35.2331,31.9468,21.0,6.6,SKS
2021-12-22T23:22:58.050000Z,18.8469,-107.0648,10.0,6.0,SKS
2021-12-20T20:10:31.310000Z,40.3902,-124.2980,27.0,6.2,SKS
2021-12-20T03:39:34.167000Z,-56.8533,-24.0922,10.0,6.0,SKS
2021-12-18T20:05:44.468000Z,-47.1000,33.4549,10.0,6.0,SKS
2021-12-16T21:14:46.652000Z,-60.1379,-23.8499,15.0,6.0,SKS
2021-12-03T04:40:05.063000Z,-28.4823,-112.0255,10.0,6.1,SKS
2021-11-14T12:08:38.837000Z,27.7276,56.0660,10.0,6.3,SKS
2021-11-14T12:07:03.595000Z,27.7158,56.0743,9.0,6.0,SKS
2021-11-01T00:02:48.956000Z,-58.0382,-25.2196,22.0,6.0,SKS
