evtime,evlat,evlon,evdp,evmg,evphase
2025-03-06T16:21:39.333000Z,-23.3399,-69.0636,96.0,6.0,SKS
2025-01-12T08:32:50.219000Z,18.5928,-103.2404,39.0,6.2,SKS
2025-01-02T20:43:35.250000Z,-21.7320,-69.1179,99.0,6.1,SKS
2025-01-01T13:48:25.461000Z,-56.4048,-26.6920,76.4,6.1,SKS
2024-12-13T23:38:18.234000Z,-35.3300,-70.7256,109.0,6.4,SKS
2024-12-07T17:31:59.483000Z,-40.3557,-16.7546,10.0,6.0,SKS
2024-12-05T18:44:21.110000Z,40.3740,-125.0217,10.0,7.0,SKS
2024-11-08T11:38:00.416000Z,-46.7782,-75.6266,10.0,6.3,SKS
2024-10-30T20:15:19.812000Z,43.5881,-127.7057,10.0,6.0,SKS
2024-09-21T21:24:28.530000Z,-31.8984,-66.7905,141.0,6.0,SKS
2024-09-15T22:22:48.323000Z,51.5827,-130.6302,6.0,6.5,SKS
2024-07-19T01:50:48.107000Z,-23.0813,-67.8098,122.9,7.4,SKS
2024-07-11T15:08:46.834000Z,48.7312,-128.7499,10.0,6.4,SKS
2024-06-29T07:05:32.855000Z,-16.0485,-74.5560,18.0,6.1,SKS
2024-06-28T05:36:36.965000Z,-15.8265,-74.4635,24.4,7.2,SKS
2024-06-16T14:47:32.659000Z,-15.8466,-74.4190,23.3,6.0,SKS
2024-06-14T04:26:48.660000Z,-30.9405,-13.4722,10.0,6.0,SKS
2024-01-22T18:09:04.408000Z,41.2632,78.6535,13.0,7.0,SKS
2024-01-11T09:20:26.988000Z,36.4999,70.6275,211.2,6.4,SKS
2023-12-20T12:11:22.247000Z,-15.8941,-72.5080,101.3,6.2,SKS
2023-10-31T12:33:43.862000Z,-28.7449,-71.5546,35.0,6.6,SKS
2023-10-15T03:36:00.712000Z,34.6508,62.1245,10.6,6.3,SKS
2023-10-11T00:41:55.226000Z,34.5295,62.0475,4.0,6.3,SKS
2023-10-10T10:01:31.086000Z,-22.8844,-66.2242,247.3,6.0,SKS
2023-10-07T07:12:50.034000Z,34.5718,61.8816,10.0,6.3,SKS
2023-10-07T06:41:03.324000Z,34.5954,61.9277,14.0,6.3,SKS
2023-09-20T14:45:56.354000Z,-4.5850,-105.6105,10.0,6.0,SKS
2023-09-06T23:48:04.631000Z,-30.2763,-71.4870,36.0,6.3,SKS
2023-08-23T14:22:43.170000Z,-26.8836,-63.2947,554.0,6.2,SKS
2023-08-05T07:20:07.755000Z,-28.1821,-63.2045,599.0,6.2,SKS
2023-07-17T03:05:11.491000Z,-38.1858,-70.4260,186.0,6.6,SKS
2023-07-16T06:48:21.155000Z,54.3919,-160.7614,25.0,7.2,SKS
2023-07-14T09:29:00.390000Z,14.8914,-93.9139,34.0,6.3,SKS
2023-06-18T20:30:22.195000Z,23.1690,-108.6940,10.0,6.4,SKS
2023-04-13T15:54:53.780000Z,49.2137,-129.6158,7.0,6.0,SKS
2023-03-30T17:33:08.544000Z,-35.6663,-73.4965,26.0,6.3,SKS
2023-03-22T16:00:34.694000Z,-23.4122,-66.5016,228.0,6.4,SKS
2023-03-21T16:47:23.614000Z,36.5169,70.9381,192.0,6.5,SKS
2023-02-23T00:37:38.620000Z,38.0564,73.2299,11.7,6.9,SKS
2023-01-24T18:37:00.100000Z,-26.7378,-63.1293,595.0,6.4,SKS
2023-01-20T22:09:39.043000Z,-26.7513,-63.1017,596.7,6.8,SKS
2023-01-05T14:25:53.152000Z,36.4617,70.7387,205.3,6.0,SKS
2022-12-20T10:34:24.770000Z,40.5250,-124.4230,17.9,6.4,SKS
2022-12-11T14:31:29.635000Z,17.2561,-100.4382,18.0,6.0,SKS
2022-11-22T16:39:05.789000Z,30.7936,-116.3907,10.0,6.2,SKS
2022-11-13T02:24:57.830000Z,-37.4653,-73.6751,18.0,6.2,SKS
2022-11-13T02:24:01.039000Z,-37.5518,-73.7660,20.7,6.2,SKS
2022-11-04T10:02:46.395000Z,28.1590,-112.3050,10.0,6.1,SKS
2022-11-02T04:53:13.229000Z,31.5128,-133.3636,10.0,6.0,SKS
2022-10-25T00:13:01.576000Z,-58.7479,-26.0934,78.0,6.3,SKS
2022-10-16T12:48:24.000000Z,4.4000,-87.5000,10.0,6.7,SKS
2022-10-16T12:48:21.665000Z,4.3584,-87.5675,15.0,6.3,SKS
2022-09-23T22:53:26.202000Z,-41.3769,-75.5849,10.0,6.1,SKS
2022-09-22T06:16:09.416000Z,18.2470,-102.9518,20.0,6.8,SKS
2022-09-19T18:05:07.743000Z,18.4967,-102.9818,25.5,7.6,SKS
2022-07-28T04:15:03.937000Z,-21.9284,-70.3399,54.0,6.1,SKS
2022-07-27T18:58:58.306000Z,-22.1876,-68.5789,112.0,6.2,SKS
2022-07-15T19:37:22.404000Z,-44.6099,-79.6897,21.5,6.4,SKS
2022-07-01T23:25:14.108000Z,26.8833,55.3238,10.0,6.0,SKS
2022-07-01T21:32:08.621000Z,26.9350,55.2540,16.0,6.0,SKS
2022-06-21T20:54:36.039000Z,33.0545,69.4828,10.0,6.0,SKS
2022-05-26T12:02:23.750000Z,-14.8942,-70.1969,252.0,7.2,SKS
2022-05-10T23:06:32.538000Z,-23.4960,-66.6519,220.0,6.8,SKS
2022-03-06T20:14:31.244000Z,-58.7315,-24.9167,20.0,6.0,SKS
2022-02-22T06:12:50.740000Z,-22.6656,-66.2653,251.0,6.0,SKS
2022-01-25T01:24:33.513000Z,-55.3696,-28.7839,11.0,6.0,SKS
2022-01-22T05:17:04.896000Z,53.2402,-166.6820,29.0,6.2,SKS
2022-01-11T12:39:31.515000Z,52.6047,-168.1550,11.2,6.6,SKS
2022-01-11T11:35:46.156000Z,52.6563,-167.9169,22.3,6.8,SKS
2021-12-22T23:22:58.050000Z,18.8469,-107.0648,10.0,6.0,SKS
2021-12-20T20:10:31.310000Z,40.3902,-124.2980,27.0,6.2,SKS
2021-12-20T03:39:34.167000Z,-56.8533,-24.0922,10.0,6.0,SKS
2021-11-14T12:08:38.837000Z,27.7276,56.0660,10.0,6.3,SKS
2021-11-14T12:07:03.595000Z,27.7158,56.0743,9.0,6.0,SKS
2021-11-01T00:02:48.956000Z,-58.0382,-25.2196,22.0,6.0,SKS
2021-10-11T09:10:24.682000Z,56.2584,-156.5532,69.1,6.9,SKS
2021-09-21T13:14:32.025000Z,-36.7771,-73.9329,18.8,6.4,SKS
2021-09-13T05:18:13.180000Z,-23.8884,-67.0152,193.4,6.2,SKS
2021-09-08T01:47:47.492000Z,16.9722,-99.7429,20.0,7.0,SKS
2021-08-17T17:53:26.910000Z,-58.0229,-25.4166,33.5,6.1,SKS
2021-08-16T11:10:36.568000Z,-58.3686,-23.3552,16.6,6.9,SKS
2021-08-14T11:57:43.430000Z,55.1733,-157.6531,20.7,6.9,SKS
2021-08-12T18:32:52.464000Z,-57.5674,-25.0316,47.2,7.5,SKS
2021-07-30T17:10:19.507000Z,-4.9142,-80.6155,33.7,6.2,SKS
2021-07-08T22:49:48.110000Z,38.5075,-119.4998,7.5,6.0,SKS
2021-07-04T01:29:14.070000Z,-28.7299,-71.6247,10.0,6.0,SKS
2021-05-31T06:59:55.581000Z,62.4492,-148.2512,44.0,6.1,SKS
