evtime,evlat,evlon,evdp,evmg,evphase
2025-04-25T11:44:55.197000Z,1.1049,-79.5345,35.0,6.3,SKS
2025-03-28T06:32:04.777000Z,21.6975,95.9690,10.0,6.7,SKS
2025-03-28T06:20:52.709000Z,22.0014,95.9247,10.0,7.7,SKS
2025-03-21T14:50:51.530000Z,7.0177,-82.4062,10.0,6.2,SKS
2025-03-06T16:21:39.333000Z,-23.3399,-69.0636,96.0,6.0,SKS
2025-02-08T23:23:14.341000Z,17.7016,-82.4564,10.0,7.6,SKS
2025-01-12T08:32:50.219000Z,18.5928,-103.2404,39.0,6.2,SKS
2025-01-07T01:05:16.716000Z,28.5733,87.3750,10.0,7.1,SKS
2025-01-05T17:18:45.914000Z,12.9949,-89.2264,46.0,6.2,SKS
2025-01-02T20:43:35.250000Z,-21.7320,-69.1179,99.0,6.1,SKS
2024-12-07T17:31:59.483000Z,-40.3557,-16.7546,10.0,6.0,SKS
2024-12-05T18:44:21.110000Z,40.3740,-125.0217,10.0,7.0,SKS
2024-11-10T16:49:50.496000Z,19.8191,-77.0757,14.0,6.8,SKS
2024-10-30T20:15:19.812000Z,43.5881,-127.7057,10.0,6.0,SKS
2024-10-12T17:43:44.516000Z,10.4967,-86.1497,16.0,6.2,SKS
2024-09-26T19:19:28.664000Z,-17.1990,66.5336,10.0,6.3,SKS
2024-09-21T21:24:28.530000Z,-31.8984,-66.7905,141.0,6.0,SKS
2024-09-15T22:22:48.323000Z,51.5827,-130.6302,6.0,6.5,SKS
2024-08-28T21:57:53.703000Z,13.0076,-89.4958,18.0,6.1,SKS
2024-07-21T02:53:48.284000Z,14.6359,-89.9157,262.3,6.2,SKS
2024-07-19T01:50:48.107000Z,-23.0813,-67.8098,122.9,7.4,SKS
2024-07-11T15:08:46.834000Z,48.7312,-128.7499,10.0,6.4,SKS
2024-06-29T07:05:32.855000Z,-16.0485,-74.5560,18.0,6.1,SKS
2024-06-28T05:36:36.965000Z,-15.8265,-74.4635,24.4,7.2,SKS
2024-06-16T14:47:32.659000Z,-15.8466,-74.4190,23.3,6.0,SKS
2024-06-14T04:26:48.660000Z,-30.9405,-13.4722,10.0,6.0,SKS
2024-05-31T15:46:09.810000Z,-43.3059,41.7226,10.0,6.2,SKS
2024-05-12T11:39:12.829000Z,14.4523,-92.4483,58.2,6.4,SKS
2024-01-28T09:38:56.538000Z,-8.2360,-71.4005,621.1,6.5,SKS
2024-01-27T05:52:48.423000Z,14.0652,-90.6190,90.0,6.1,SKS
2024-01-22T18:09:04.408000Z,41.2632,78.6535,13.0,7.0,SKS
2024-01-20T22:09:39.708000Z,-39.9300,46.1966,10.0,6.2,SKS
2024-01-20T21:31:05.092000Z,-7.2879,-71.4640,607.0,6.6,SKS
2024-01-11T09:20:26.988000Z,36.4999,70.6275,211.2,6.4,SKS
2023-12-20T12:11:22.247000Z,-15.8941,-72.5080,101.3,6.2,SKS
2023-10-31T12:33:43.862000Z,-28.7449,-71.5546,35.0,6.6,SKS
2023-10-10T10:01:31.086000Z,-22.8844,-66.2242,247.3,6.0,SKS
2023-09-06T23:48:04.631000Z,-30.2763,-71.4870,36.0,6.3,SKS
2023-08-23T14:22:43.170000Z,-26.8836,-63.2947,554.0,6.2,SKS
2023-08-17T17:04:48.708000Z,4.3434,-73.5955,10.0,6.2,SKS
2023-08-05T07:20:07.755000Z,-28.1821,-63.2045,599.0,6.2,SKS
2023-07-19T00:22:07.652000Z,12.7997,-88.0799,70.8,6.5,SKS
2023-07-16T06:48:21.155000Z,54.3919,-160.7614,25.0,7.2,SKS
2023-07-14T09:29:00.390000Z,14.8914,-93.9139,34.0,6.3,SKS
2023-06-18T20:30:22.195000Z,23.1690,-108.6940,10.0,6.4,SKS
2023-05-25T03:05:32.956000Z,8.9223,-77.0904,13.0,6.5,SKS
2023-05-21T14:56:45.392000Z,-43.4359,39.3583,10.0,6.8,SKS
2023-05-17T23:01:59.919000Z,15.1066,-90.8052,252.0,6.4,SKS
2023-04-13T15:54:53.780000Z,49.2137,-129.6158,7.0,6.0,SKS
2023-04-04T22:18:12.640000Z,7.5673,-82.3342,16.0,6.3,SKS
2023-03-22T16:00:34.694000Z,-23.4122,-66.5016,228.0,6.4,SKS
2023-03-21T16:47:23.614000Z,36.5169,70.9381,192.0,6.5,SKS
2023-03-18T17:12:51.965000Z,-2.8390,-79.8480,63.5,6.8,SKS
2023-02-23T00:37:38.620000Z,38.0564,73.2299,11.7,6.9,SKS
2023-01-24T18:37:00.100000Z,-26.7378,-63.1293,595.0,6.4,SKS
2023-01-20T22:09:39.043000Z,-26.7513,-63.1017,596.7,6.8,SKS
2023-01-05T14:25:53.152000Z,36.4617,70.7387,205.3,6.0,SKS
2022-12-20T10:34:24.770000Z,40.5250,-124.4230,17.9,6.4,SKS
2022-12-11T14:31:29.635000Z,17.2561,-100.4382,18.0,6.0,SKS
2022-11-22T16:39:05.789000Z,30.7936,-116.3907,10.0,6.2,SKS
2022-11-04T10:02:46.395000Z,28.1590,-112.3050,10.0,6.1,SKS
2022-10-20T11:57:12.563000Z,7.6863,-82.3351,20.0,6.7,SKS
2022-10-16T12:48:24.000000Z,4.4000,-87.5000,10.0,6.7,SKS
2022-10-16T12:48:21.665000Z,4.3584,-87.5675,15.0,6.3,SKS
2022-09-22T06:16:09.416000Z,18.2470,-102.9518,20.0,6.8,SKS
2022-09-20T18:23:42.896000Z,55.5042,166.3282,10.0,6.0,SKS
2022-09-19T18:05:07.743000Z,18.4967,-102.9818,25.5,7.6,SKS
2022-09-05T04:52:19.645000Z,29.6786,102.2360,12.0,6.6,SKS
2022-07-28T04:15:03.937000Z,-21.9284,-70.3399,54.0,6.1,SKS
2022-07-27T18:58:58.306000Z,-22.1876,-68.5789,112.0,6.2,SKS
2022-06-21T20:54:36.039000Z,33.0545,69.4828,10.0,6.0,SKS
