evtime,evlat,evlon,evdp,evmg,evphase
2025-05-03T12:51:45.137000Z,0.5010,121.5769,108.4,6.0,S
2025-04-29T14:53:36.756000Z,-54.2596,155.6293,12.1,6.8,S
2025-04-29T13:16:32.924000Z,-48.1287,165.4050,12.3,6.2,S
2025-04-22T10:17:13.583000Z,4.5098,127.7584,117.8,6.2,S
2025-04-16T01:42:59.668000Z,-47.8064,99.7261,10.0,6.6,S
2025-04-13T20:03:22.841000Z,-25.9815,-178.3309,271.0,6.5,S
2025-04-12T03:47:08.682000Z,-4.7074,153.1423,52.0,6.1,S
2025-04-04T20:04:38.311000Z,-6.2927,151.6781,10.0,6.9,S
2025-04-02T14:03:57.825000Z,30.9792,131.5220,29.0,6.1,S
2025-04-02T00:29:22.306000Z,-57.0079,-142.2862,10.0,6.3,S
2025-03-30T15:04:54.834000Z,-20.3816,-174.0115,17.0,6.2,S
2025-03-30T12:18:50.291000Z,-20.3093,-174.0801,29.0,7.0,S
2025-03-28T06:32:04.777000Z,21.6975,95.9690,10.0,6.7,S
2025-03-28T06:20:52.709000Z,22.0014,95.9247,10.0,7.7,S
2025-03-25T01:43:11.796000Z,-46.7305,165.8632,21.0,6.7,S
2025-03-21T14:53:41.774000Z,51.1558,-176.0703,17.0,6.2,S
2025-03-12T05:42:11.676000Z,6.9701,92.5548,23.0,6.0,S
2025-02-25T22:55:44.646000Z,0.3947,124.8541,13.3,6.1,S
2025-02-23T18:16:17.973000Z,-11.3585,166.2612,36.0,6.0,S
2025-01-20T16:17:26.768000Z,23.1678,120.5468,16.0,6.0,S
2025-01-13T12:19:32.300000Z,31.8525,131.5300,39.0,6.8,S
2025-01-07T01:05:16.716000Z,28.5733,87.3750,10.0,7.1,S
2024-12-27T12:47:37.885000Z,47.3114,151.3468,146.0,6.8,S
2024-12-21T15:30:53.221000Z,-17.7124,168.0329,46.0,6.1,S
2024-12-17T01:47:25.741000Z,-17.6914,168.0842,54.4,7.3,S
2024-12-09T00:38:52.848000Z,50.8586,-177.4430,10.0,6.1,S
2024-12-09T00:15:30.691000Z,50.9985,-177.1779,19.0,6.3,S
2024-12-08T19:57:08.602000Z,51.0018,-177.3278,18.0,6.3,S
2024-12-08T10:25:00.081000Z,48.8670,152.3071,207.0,6.0,S
2024-11-26T13:47:03.411000Z,36.9549,136.3653,8.0,6.1,S
2024-11-17T12:16:29.948000Z,29.0468,131.3829,8.0,6.1,S
2024-11-15T05:28:30.644000Z,-4.7395,153.3133,56.0,6.6,S
2024-10-30T12:18:51.671000Z,-4.4064,150.0827,509.0,6.0,S
2024-10-23T14:38:04.614000Z,49.3940,155.6369,40.0,6.2,S
2024-10-01T20:05:34.881000Z,-19.2886,-173.0007,10.0,6.6,S
2024-10-01T09:28:05.902000Z,-5.9971,124.9161,587.5,6.1,S
2024-09-26T19:19:28.664000Z,-17.1990,66.5336,10.0,6.3,S
2024-09-23T19:51:02.569000Z,-0.0470,122.8944,143.0,6.0,S
2024-09-16T11:36:34.522000Z,17.1539,147.2254,31.0,6.3,S
2024-09-11T16:46:05.054000Z,-3.2871,146.4088,8.0,6.3,S
2024-09-07T22:39:08.235000Z,-21.3297,-173.8598,10.0,6.0,S
2024-09-05T01:03:15.672000Z,-3.5428,144.1953,7.0,6.2,S
2024-09-01T20:13:34.201000Z,-6.8295,155.5297,39.0,6.4,S
2024-08-30T04:24:22.983000Z,53.0016,160.3787,26.0,6.0,S
2024-08-25T23:30:51.981000Z,-19.7667,-174.9814,99.3,6.0,S
2024-08-25T23:29:07.570000Z,-19.7907,-175.0730,96.0,6.9,S
2024-08-17T19:10:26.819000Z,52.9369,160.1158,29.0,7.0,S
2024-08-15T23:35:53.950000Z,23.7496,121.7684,14.0,6.1,S
2024-08-10T03:28:32.435000Z,47.1936,144.7822,400.8,6.5,S
2024-08-08T07:42:55.242000Z,31.7581,131.5191,24.0,7.1,S
2024-08-03T04:20:26.609000Z,8.1703,126.7636,15.9,6.3,S
2024-08-02T22:23:02.550000Z,8.1812,126.6154,35.0,6.8,S
2024-07-29T13:07:11.966000Z,-20.3812,-173.9806,9.0,6.0,S
2024-07-22T05:04:30.168000Z,-15.5442,168.0426,10.0,6.0,S
2024-07-19T03:13:47.644000Z,52.1152,-170.9249,43.0,6.0,S
2024-07-11T02:13:17.720000Z,6.0898,123.1548,627.9,7.1,S
2024-07-10T04:55:41.780000Z,-53.3092,25.3481,4.0,6.6,S
2024-07-07T20:01:12.295000Z,26.8957,138.8289,546.0,6.2,S
2024-06-16T00:27:57.135000Z,-61.0037,154.1287,10.8,6.0,S
2024-06-09T09:55:49.795000Z,-53.8577,-133.9892,10.0,6.2,S
2024-05-31T15:54:41.575000Z,-28.9482,-176.8762,19.7,6.2,S
2024-05-31T15:46:09.810000Z,-43.3059,41.7226,10.0,6.2,S
2024-05-26T20:47:10.893000Z,-19.4182,-174.8667,127.1,6.6,S
2024-05-25T22:23:16.060000Z,-17.1155,167.8753,22.3,6.3,S
2024-05-19T09:35:25.025000Z,52.1526,-170.8838,28.0,6.0,S
2024-05-08T08:17:18.712000Z,-15.1551,168.0225,40.5,6.1,S
2024-05-05T18:33:10.550000Z,-3.3135,130.9634,13.1,6.1,S
2024-04-27T16:29:51.110000Z,-7.9997,107.2981,63.3,6.1,S
2024-04-27T08:35:34.822000Z,27.8217,139.5770,503.9,6.5,S
2024-04-22T18:32:48.454000Z,23.8622,121.5621,10.0,6.1,S
2024-04-22T18:26:52.852000Z,23.7141,121.6599,9.0,6.1,S
2024-04-17T14:14:46.694000Z,33.2503,132.3647,32.0,6.3,S
2024-04-14T20:56:28.097000Z,-5.8037,151.0832,49.0,6.5,S
2024-04-09T09:48:01.603000Z,2.7057,127.0614,35.0,6.4,S
2024-04-05T11:03:16.375000Z,19.0958,145.3600,222.0,6.8,S
2024-04-04T03:16:30.313000Z,37.7104,141.8560,29.0,6.1,S
2024-04-03T00:11:25.266000Z,24.1021,121.6812,13.9,6.4,S
2024-04-02T23:58:12.147000Z,23.8322,121.6044,40.0,7.4,S
2024-04-02T09:54:08.576000Z,15.8134,146.8783,10.0,6.2,S
2024-03-27T01:28:21.000000Z,-20.9000,173.8000,10.0,6.7,S
2024-03-27T01:28:17.689000Z,-21.0715,173.7373,10.0,6.4,S
2024-03-23T20:22:03.795000Z,-4.1155,143.1701,37.0,6.9,S
2024-03-22T08:52:58.922000Z,-5.8756,112.3661,8.9,6.4,S
2024-03-13T15:13:22.767000Z,-5.8435,150.6779,44.0,6.0,S
2024-03-08T09:11:45.110000Z,5.8168,126.9407,115.0,6.0,S
2024-03-05T19:52:52.612000Z,-59.1953,158.7607,10.0,6.1,S
2024-03-03T16:16:53.995000Z,-58.8881,159.1441,23.2,6.8,S
2024-02-14T11:40:22.125000Z,11.0047,138.5725,14.0,6.0,S
2024-02-12T11:19:34.765000Z,21.9986,142.8277,236.0,6.1,S
2024-02-09T10:57:48.482000Z,-29.9268,-177.2323,13.0,6.1,S
2024-01-23T14:33:45.022000Z,-17.9827,168.0499,31.0,6.3,S
2024-01-22T18:09:04.408000Z,41.2632,78.6535,13.0,7.0,S
2024-01-20T22:09:39.708000Z,-39.9300,46.1966,10.0,6.2,S
2024-01-20T15:48:40.122000Z,18.5258,145.6311,184.0,6.1,S
2024-01-18T22:12:22.000000Z,-18.9068,-175.4176,211.0,6.4,S
2024-01-11T09:20:26.988000Z,36.4999,70.6275,211.2,6.4,S
2024-01-08T20:48:43.797000Z,4.9096,126.1541,76.9,6.7,S
2024-01-01T07:18:42.037000Z,37.1959,136.8697,10.0,6.2,S
2024-01-01T07:10:09.474000Z,37.4893,137.2638,10.0,7.5,S
2023-12-30T17:16:23.772000Z,-2.9935,139.3685,33.0,6.3,S
2023-12-30T17:16:23.000000Z,-3.2050,139.2890,10.0,6.5,S
2023-12-28T09:15:16.075000Z,44.5907,149.0094,30.5,6.5,S
2023-12-22T17:36:32.014000Z,-52.0879,27.9516,10.0,6.1,S
2023-12-21T14:55:56.291000Z,51.2097,-175.3313,20.0,6.1,S
2023-12-11T06:33:31.043000Z,-18.6761,-175.4826,238.4,6.1,S
2023-12-07T12:56:31.002000Z,-20.5962,169.2899,54.5,7.1,S
2023-12-03T19:49:36.868000Z,8.9535,126.6186,28.6,6.9,S
2023-12-03T14:35:58.768000Z,8.7256,126.8701,26.5,6.0,S
2023-12-03T10:35:51.878000Z,8.4929,126.7471,12.6,6.6,S
2023-12-02T20:52:22.476000Z,8.3941,126.7482,52.7,6.0,S
2023-12-02T20:52:15.784000Z,8.4347,126.7703,9.0,6.0,S
2023-12-02T18:09:26.307000Z,8.4476,126.9603,50.7,6.2,S
2023-12-02T17:40:16.653000Z,8.3752,126.7462,50.6,6.1,S
2023-12-02T16:03:37.952000Z,8.4297,126.6978,13.1,6.3,S
2023-12-02T14:37:05.568000Z,8.4870,126.3511,50.7,7.6,S
2023-11-27T21:46:41.630000Z,-3.5558,144.0356,6.5,6.5,S
2023-11-24T09:05:03.893000Z,20.1319,145.5195,22.2,6.9,S
2023-11-22T04:47:31.592000Z,-14.9578,167.9708,13.0,6.7,S
2023-11-22T02:48:51.641000Z,1.7825,127.1884,102.0,6.0,S
2023-11-17T08:14:12.758000Z,5.6130,125.0305,71.9,6.7,S
2023-11-14T07:00:56.263000Z,-4.0236,87.0994,10.0,6.1,S
2023-11-13T07:43:32.757000Z,-3.9206,150.9710,10.0,6.1,S
2023-11-10T20:45:11.772000Z,-6.0976,130.0606,10.0,6.1,S
2023-11-08T13:02:06.127000Z,-6.1278,129.8705,10.0,6.7,S
2023-11-08T04:53:50.283000Z,-6.4189,129.5474,10.0,7.1,S
2023-11-08T04:52:51.393000Z,-6.4442,129.7518,10.0,6.7,S
2023-11-01T21:04:46.905000Z,-10.0340,123.7591,40.0,6.1,S
2023-10-31T11:10:56.148000Z,-17.5276,-179.0103,550.2,6.5,S
2023-10-29T04:32:07.879000Z,-19.3971,168.7776,72.5,6.0,S
2023-10-23T10:10:17.738000Z,-29.8707,-177.5125,44.0,6.0,S
2023-10-16T11:35:31.370000Z,52.5239,-176.9315,187.0,6.4,S
2023-10-15T03:36:00.712000Z,34.6508,62.1245,10.6,6.3,S
2023-10-11T20:04:58.206000Z,-52.0446,139.6131,10.0,6.3,S
2023-10-11T00:41:55.226000Z,34.5295,62.0475,4.0,6.3,S
2023-10-07T08:40:11.980000Z,-5.4981,146.1063,57.7,6.9,S
2023-10-07T08:34:26.903000Z,-5.6034,146.1381,55.0,6.7,S
2023-10-07T07:12:50.034000Z,34.5718,61.8816,10.0,6.3,S
2023-10-07T06:41:03.324000Z,34.5954,61.9277,14.0,6.3,S
2023-10-06T01:31:17.149000Z,30.1409,139.9683,10.0,6.1,S
2023-10-05T01:59:58.545000Z,29.8444,139.9949,10.0,6.1,S
2023-10-04T11:21:47.721000Z,5.3183,126.0474,113.0,6.4,S
2023-10-03T11:38:04.199000Z,29.9183,140.0108,10.0,6.0,S
2023-09-28T14:40:25.892000Z,-15.5866,167.7410,125.0,6.1,S
2023-09-21T21:11:48.985000Z,-14.0146,167.2008,185.0,6.1,S
2023-09-18T13:21:23.535000Z,26.5312,125.2312,176.0,6.3,S
2023-09-12T11:03:18.873000Z,19.2687,121.2178,41.3,6.3,S
2023-09-11T12:51:33.104000Z,1.1246,127.4888,151.0,6.0,S
2023-09-09T14:43:24.059000Z,0.0017,119.7670,10.0,6.0,S
2023-09-08T09:09:57.277000Z,-32.7996,-179.3741,79.0,6.6,S
2023-09-01T20:49:55.015000Z,50.7034,156.2787,142.2,6.1,S
2023-08-28T19:55:30.883000Z,-6.7871,116.5196,500.0,7.1,S
2023-08-16T12:47:39.720000Z,-13.8882,167.2249,188.0,6.5,S
2023-08-14T13:51:53.761000Z,13.3470,147.5297,8.0,6.1,S
2023-08-08T18:38:54.184000Z,-15.2082,-173.1883,42.0,6.1,S
2023-07-26T12:44:35.647000Z,-14.7407,167.9116,13.0,6.4,S
2023-07-24T02:49:57.893000Z,-24.1376,178.7628,546.0,6.0,S
2023-07-02T10:27:43.732000Z,-17.8810,-174.9484,229.0,6.9,S
2023-06-25T07:16:58.830000Z,-24.0818,-175.5760,9.0,6.2,S
2023-06-19T11:18:11.960000Z,-4.4729,144.8345,23.8,6.2,S
2023-06-18T21:59:17.518000Z,-48.6747,31.1598,10.0,6.0,S
2023-06-17T11:26:20.456000Z,-23.4652,-175.4720,22.0,6.1,S
2023-06-16T19:10:50.708000Z,-23.5748,-175.5430,16.0,6.2,S
2023-06-16T08:11:34.292000Z,-23.5487,-175.9066,21.0,6.0,S
2023-06-15T18:06:28.572000Z,-22.9936,-177.1067,179.0,7.2,S
2023-06-15T02:19:23.215000Z,13.7576,120.7336,112.0,6.2,S
2023-06-11T09:54:44.886000Z,42.5268,141.9005,121.0,6.2,S
2023-05-31T02:21:23.997000Z,-49.6093,163.8553,14.8,6.3,S
2023-05-27T00:11:00.804000Z,-18.4836,-175.1849,222.0,6.0,S
2023-05-26T10:03:23.980000Z,35.5096,140.4905,42.0,6.1,S
2023-05-24T15:49:34.402000Z,-6.9484,129.5293,158.0,6.2,S
2023-05-23T06:41:58.609000Z,-22.9954,170.3067,10.0,6.1,S
2023-05-21T15:45:13.303000Z,-10.2725,161.4437,82.3,6.1,S
2023-05-21T14:56:45.392000Z,-43.4359,39.3583,10.0,6.8,S
2023-05-20T02:09:54.359000Z,-22.9824,170.5423,10.0,6.5,S
2023-05-20T01:50:58.953000Z,-23.0483,170.5113,25.8,7.1,S
2023-05-19T02:57:05.349000Z,-23.1903,170.7343,33.0,7.7,S
2023-05-10T16:02:00.334000Z,-15.6278,-174.4925,210.0,7.6,S
2023-05-05T05:42:04.365000Z,37.5476,137.2994,10.0,6.2,S
2023-04-28T03:13:48.485000Z,-25.1913,178.4639,563.0,6.6,S
2023-04-28T03:13:44.448000Z,-25.1472,178.5086,587.8,6.0,S
2023-04-24T20:00:57.540000Z,-0.8026,98.5240,34.0,7.1,S
2023-04-24T00:41:53.607000Z,-29.9918,-177.8114,29.0,7.1,S
2023-04-22T08:23:42.298000Z,-5.2523,125.5903,5.5,6.2,S
2023-04-19T09:06:03.156000Z,-5.9460,149.6328,40.0,6.3,S
2023-04-18T04:31:43.586000Z,-22.3163,179.4293,596.4,6.7,S
2023-04-14T09:55:45.265000Z,-6.0255,112.0332,594.0,7.0,S
2023-04-04T12:54:31.503000Z,13.7318,125.5372,10.0,6.2,S
2023-04-03T14:59:42.709000Z,0.8431,98.8133,92.7,6.1,S
2023-04-03T03:06:57.235000Z,52.7227,158.4935,101.0,6.5,S
2023-04-02T18:04:11.321000Z,-4.3258,143.1593,70.0,7.0,S
2023-03-28T09:18:28.117000Z,41.1480,142.8050,34.0,6.0,S
2023-03-27T22:19:15.836000Z,-8.2105,158.9268,86.0,6.1,S
2023-03-21T16:47:23.614000Z,36.5169,70.9381,192.0,6.5,S
2023-03-16T00:56:00.139000Z,-30.1743,-176.1982,10.0,7.0,S
2023-03-14T00:49:08.507000Z,-5.4168,146.8558,213.0,6.3,S
2023-03-04T06:41:22.998000Z,-29.5025,-178.7966,210.0,6.9,S
2023-03-02T18:04:29.747000Z,-15.3592,166.3784,10.0,6.4,S
2023-03-01T05:36:14.834000Z,-4.8255,149.5041,600.9,6.6,S
2023-02-25T21:24:48.550000Z,-6.0978,149.8103,39.5,6.2,S
2023-02-25T13:27:43.376000Z,42.8417,144.9973,51.8,6.0,S
2023-02-23T20:02:49.476000Z,3.2863,128.1395,110.0,6.3,S
2023-02-23T00:37:38.620000Z,38.0564,73.2299,11.7,6.9,S
2023-02-17T09:37:34.692000Z,-6.6152,132.1065,40.0,6.1,S
2023-02-15T18:10:08.107000Z,12.3099,123.8605,8.0,6.1,S
