evtime,evlat,evlon,evdp,evmg,evphase
2024-08-17T19:10:26.819000Z,52.9369,160.1158,29.0,7.0,S
2024-08-08T07:42:55.242000Z,31.7581,131.5191,24.0,7.1,S
2024-07-11T02:13:17.720000Z,6.0898,123.1548,627.9,7.1,S
2024-04-02T23:58:12.147000Z,23.8322,121.6044,40.0,7.4,S
2024-01-22T18:09:04.408000Z,41.2632,78.6535,13.0,7.0,S
2024-01-01T07:10:09.474000Z,37.4893,137.2638,10.0,7.5,S
2023-12-07T12:56:31.002000Z,-20.5962,169.2899,54.5,7.1,S
2023-12-02T14:37:05.568000Z,8.4870,126.3511,50.7,7.6,S
2023-11-08T04:53:50.283000Z,-6.4189,129.5474,10.0,7.1,S
2023-08-28T19:55:30.883000Z,-6.7871,116.5196,500.0,7.1,S
2023-07-16T06:48:21.155000Z,54.3919,-160.7614,25.0,7.2,S
2023-06-15T18:06:28.572000Z,-22.9936,-177.1067,179.0,7.2,S
2023-05-20T01:50:58.953000Z,-23.0483,170.5113,25.8,7.1,S
2023-05-19T02:57:05.349000Z,-23.1903,170.7343,33.0,7.7,S
2023-05-10T16:02:00.334000Z,-15.6278,-174.4925,210.0,7.6,S
2023-04-24T20:00:57.540000Z,-0.8026,98.5240,34.0,7.1,S
2023-04-24T00:41:53.607000Z,-29.9918,-177.8114,29.0,7.1,S
2023-04-14T09:55:45.265000Z,-6.0255,112.0332,594.0,7.0,S
2023-04-02T18:04:11.321000Z,-4.3258,143.1593,70.0,7.0,S
2023-03-16T00:56:00.139000Z,-30.1743,-176.1982,10.0,7.0,S
2023-01-18T06:06:11.334000Z,2.7357,127.0274,28.9,7.0,S
2023-01-09T17:47:35.057000Z,-7.0642,130.0039,105.2,7.6,S
2023-01-08T12:32:42.372000Z,-14.9466,166.8794,29.0,7.0,S
2022-11-22T02:03:06.920000Z,-9.8090,159.5936,14.0,7.0,S
2022-11-12T07:09:14.116000Z,-20.0924,-178.3429,586.9,7.0,S
2022-11-11T10:48:46.755000Z,-19.2868,-172.1488,37.0,7.3,S
2022-09-14T11:04:06.558000Z,-21.1909,170.2666,137.0,7.0,S
2022-09-10T23:47:00.232000Z,-6.2949,146.5025,116.0,7.6,S
2022-07-27T00:43:28.268000Z,17.5524,120.7955,46.0,7.0,S
2022-03-31T05:44:01.141000Z,-22.5855,170.3749,10.0,7.0,S
2022-03-16T14:36:33.003000Z,37.7302,141.5951,59.9,7.3,S
2021-12-29T18:25:51.844000Z,-7.5465,127.5764,164.3,7.3,S
2021-12-14T03:20:23.917000Z,-7.6046,122.2273,15.1,7.3,S
2021-10-02T06:29:17.897000Z,-21.1265,174.8958,527.0,7.3,S
